3x3,  9988.txt, astar, disjointPDBVertical,    26, 1.17,    16,  4765
3x3,  9989.txt, astar, disjointPDBVertical,    29, 1.18,    16,  4731
3x3,  9990.txt, astar, disjointPDBVertical,    21, 1.15,    16,  4794
3x3,  9991.txt, astar, disjointPDBVertical,    24, 1.16,    16,  4820
3x3,  9992.txt, astar, disjointPDBVertical,   267, 1.40,    16,  4776
3x3,  9993.txt, astar, disjointPDBVertical,    16, 1.12,    16,  4737
3x3,  9994.txt, astar, disjointPDBVertical,    31, 1.18,    16,  4745
3x3,  9995.txt, astar, disjointPDBVertical,    22, 1.15,    16,  4712
3x3,  9996.txt, astar, disjointPDBVertical,    17, 1.12,    16,  4723
3x3,  9997.txt, astar, disjointPDBVertical,    22, 1.14,    16,  4879
3x3,  9998.txt, astar, disjointPDBVertical,    21, 1.14,    16,  4712
3x3,  9999.txt, astar, disjointPDBVertical,    28, 1.17,    16,  4789
3x3, 17378.txt, astar, disjointPDBVertical,    18, 1.12,    17,  4727
3x3, 17379.txt, astar, disjointPDBVertical,   183, 1.34,    17,  4751
3x3, 17380.txt, astar, disjointPDBVertical,    17, 1.11,    17,  4838
3x3, 17381.txt, astar, disjointPDBVertical,    66, 1.24,    17,  4756
3x3, 17382.txt, astar, disjointPDBVertical,    22, 1.14,    17,  4955
3x3, 17383.txt, astar, disjointPDBVertical,    21, 1.13,    17,  4791
3x3, 17384.txt, astar, disjointPDBVertical,    28, 1.16,    17,  5227
3x3, 17385.txt, astar, disjointPDBVertical,    17, 1.11,    17,  5007
3x3, 17386.txt, astar, disjointPDBVertical,    41, 1.20,    17,  9095
3x3, 17387.txt, astar, disjointPDBVertical,    20, 1.13,    17,  6171
3x3, 17388.txt, astar, disjointPDBVertical,    93, 1.27,    17,  8105
3x3, 17389.txt, astar, disjointPDBVertical,    19, 1.12,    17, 12862
3x3, 17390.txt, astar, disjointPDBVertical,    90, 1.26,    17, 12808
3x3, 17391.txt, astar, disjointPDBVertical,  1224, 1.52,    17,  5151
3x3, 17392.txt, astar, disjointPDBVertical,    67, 1.23,    17,  5054
3x3, 17393.txt, astar, disjointPDBVertical,    57, 1.23,    17,  5050
3x3, 17394.txt, astar, disjointPDBVertical,   242, 1.37,    17,  5196
3x3, 17395.txt, astar, disjointPDBVertical,    32, 1.16,    17,  4988
3x3, 17396.txt, astar, disjointPDBVertical,   422, 1.40,    17,  5070
3x3, 17397.txt, astar, disjointPDBVertical,   141, 1.31,    17,  5128
3x3, 17398.txt, astar, disjointPDBVertical,    22, 1.14,    17,  6153
3x3, 17399.txt, astar, disjointPDBVertical,    19, 1.12,    17,  8606
3x3, 17400.txt, astar, disjointPDBVertical,    37, 1.18,    17,  5406
3x3, 17401.txt, astar, disjointPDBVertical,   149, 1.32,    17,  7194
3x3, 17402.txt, astar, disjointPDBVertical,    37, 1.18,    17,  5119
3x3, 26907.txt, astar, disjointPDBVertical,    19, 1.11,    18, 12640
3x3, 26908.txt, astar, disjointPDBVertical,   316, 1.36,    18, 12685
3x3, 26909.txt, astar, disjointPDBVertical,   318, 1.36,    18, 11355
3x3, 26910.txt, astar, disjointPDBVertical,    29, 1.15,    18, 12941
3x3, 26911.txt, astar, disjointPDBVertical,    31, 1.15,    18,  5282
3x3, 26912.txt, astar, disjointPDBVertical,    47, 1.19,    18, 13362
3x3, 26913.txt, astar, disjointPDBVertical,   165, 1.30,    18,  5267
3x3, 26914.txt, astar, disjointPDBVertical,    35, 1.16,    18,  5188
3x3, 26915.txt, astar, disjointPDBVertical,   156, 1.30,    18,  5066
3x3, 26916.txt, astar, disjointPDBVertical,    59, 1.20,    18,  5126
3x3, 26917.txt, astar, disjointPDBVertical,   104, 1.25,    18,  5270
3x3, 26918.txt, astar, disjointPDBVertical,   165, 1.30,    18,  7224
3x3, 26919.txt, astar, disjointPDBVertical,    44, 1.19,    18,  7232
